name,city,state,type,latitude,longitude
"Dyal Singh College (DU, Lodhi Road)",Delhi,Delhi,Constituent College,28.5901,77.2345
"Indian Institute of Technology Bombay (IIT Bombay, Powai)",Mumbai,Maharashtra,Institute of National Importance,19.1334,72.9133
University of Mumbai (Kalina Campus),Mumbai,Maharashtra,State University,19.0735,72.8601
University of Mumbai (Fort Campus),Mumbai,Maharashtra,State University,18.9298,72.8315
"St. Xavier's College (Autonomous, Dhobi Talao)",Mumbai,Maharashtra,Autonomous College,18.9436,72.8318
"Veermata Jijabai Technological Institute (VJTI, Matunga)",Mumbai,Maharashtra,Autonomous College,19.0222,72.8561
"Institute of Chemical Technology (ICT Mumbai, Matunga)",Mumbai,Maharashtra,Deemed University,19.0238,72.8586
"Sardar Patel Institute of Technology (SPIT, Andheri West)",Mumbai,Maharashtra,Autonomous College,19.1232,72.8361
"Sardar Patel College of Engineering (SPCE, Andheri West)",Mumbai,Maharashtra,Autonomous College,19.1235,72.8365
"Narsee Monjee Institute of Management Studies (NMIMS, Vile Parle)",Mumbai,Maharashtra,Deemed University,19.1032,72.8373
Mithibai College of Arts and Chauhan Institute of Science,Mumbai,Maharashtra,Autonomous College,19.1026,72.8376
K.J. Somaiya College of Engineering (Vidyavihar),Mumbai,Maharashtra,Private University,19.0728,72.8998
K.J. Somaiya College of Arts and Commerce (Vidyavihar),Mumbai,Maharashtra,Autonomous College,19.0715,72.8985
"Tata Institute of Fundamental Research (TIFR, Colaba)",Mumbai,Maharashtra,Deemed University,18.9042,72.8083
"Tata Institute of Social Sciences (TISS, Deonar)",Mumbai,Maharashtra,Deemed University,19.0441,72.9142
Jamnalal Bajaj Institute of Management Studies (JBIMS),Mumbai,Maharashtra,Autonomous College,18.9304,72.8277
Sydenham College of Commerce and Economics (Churchgate),Mumbai,Maharashtra,Constituent College,18.9328,72.8272
H.R. College of Commerce and Economics (Churchgate),Mumbai,Maharashtra,Constituent College,18.9315,72.8258
K.C. College (Churchgate),Mumbai,Maharashtra,Constituent College,18.932,72.825
Jai Hind College (Churchgate),Mumbai,Maharashtra,Autonomous College,18.9338,72.8245
Grant Government Medical College & Sir J.J. Group of Hospitals,Mumbai,Maharashtra,Government Medical College,18.9628,72.8347
Seth G.S. Medical College & KEM Hospital (Parel),Mumbai,Maharashtra,Government Medical College,19.0028,72.8428
Topiwala National Medical College & BYL Nair Hospital,Mumbai,Maharashtra,Government Medical College,18.9734,72.8211
"Government Law College (GLC Mumbai, Churchgate)",Mumbai,Maharashtra,Government College,18.9326,72.8288
"Thadomal Shahani Engineering College (TSEC, Bandra)",Mumbai,Maharashtra,Private College,19.0655,72.8362
Fr. Conceicao Rodrigues College of Engineering (Bandra),Mumbai,Maharashtra,Private College,19.0438,72.8208
"Don Bosco Institute of Technology (DBIT, Kurla)",Mumbai,Maharashtra,Private College,19.0805,72.8885
Vivekanand Education Society's Institute of Technology (VESIT),Mumbai,Maharashtra,Autonomous College,19.0475,72.889
Dwarkadas J. Sanghvi College of Engineering (DJSCE),Mumbai,Maharashtra,Autonomous College,19.1075,72.837
Indian Institute of Management Mumbai (formerly NITIE),Mumbai,Maharashtra,Institute of National Importance,19.1408,72.9069
Ramnarain Ruia Autonomous College (Matunga),Mumbai,Maharashtra,Autonomous College,19.0225,72.8538
Indian Institute of Technology Hyderabad (IIT Hyderabad),Hyderabad,Telangana,Institute of National Importance,17.5936,78.1235
International Institute of Information Technology Hyderabad (IIIT-H),Hyderabad,Telangana,Deemed University,17.4455,78.3489
"University of Hyderabad (UoH, Gachibowli)",Hyderabad,Telangana,Central University,17.4567,78.3264
"Osmania University (Main Campus, Amberpet)",Hyderabad,Telangana,State University,17.4138,78.5284
Jawaharlal Nehru Technological University Hyderabad (JNTUH),Hyderabad,Telangana,State University,17.4938,78.3914
BITS Pilani Hyderabad Campus (Jawahar Nagar),Hyderabad,Telangana,Deemed University,17.5449,78.5718
"Indian School of Business (ISB, Gachibowli)",Hyderabad,Telangana,Autonomous Institute,17.4395,78.3408
"Chaitanya Bharathi Institute of Technology (CBIT, Gandipet)",Hyderabad,Telangana,Autonomous College,17.3916,78.3198
Vasavi College of Engineering (Ibrahimbagh),Hyderabad,Telangana,Autonomous College,17.3807,78.3826
VNR Vignana Jyothi Institute of Engineering & Technology (VNR VJIET),Hyderabad,Telangana,Autonomous College,17.5385,78.3858
Gokaraju Rangaraju Institute of Engineering & Technology (GRIET),Hyderabad,Telangana,Autonomous College,17.5205,78.3683
CVR College of Engineering (Ibrahimpatnam),Hyderabad,Telangana,Autonomous College,17.1978,78.5975
Mahindra University (Bahadurpally),Hyderabad,Telangana,Private University,17.5878,78.4358
NALSAR University of Law (Shamirpet),Hyderabad,Telangana,State University,17.6044,78.5492
"Nizam's Institute of Medical Sciences (NIMS, Punjagutta)",Hyderabad,Telangana,State University,17.4225,78.4526
Gandhi Medical College (Secunderabad),Hyderabad,Telangana,Government Medical College,17.4239,78.5028
Osmania Medical College (Koti),Hyderabad,Telangana,Government Medical College,17.382,78.4842
"Institute of Public Enterprise (IPE, Shamirpet)",Hyderabad,Telangana,Autonomous Institute,17.6185,78.5742
Sreenidhi Institute of Science and Technology (SNIST),Hyderabad,Telangana,Autonomous College,17.4542,78.6738
Vardhaman College of Engineering (Shamshabad),Hyderabad,Telangana,Autonomous College,17.2542,78.306
Malla Reddy College of Engineering & Technology (MRCET),Hyderabad,Telangana,Autonomous College,17.5615,78.4552
CMR College of Engineering & Technology (Kandlakoya),Hyderabad,Telangana,Autonomous College,17.6065,78.4885
Anurag University (Venkatapur),Hyderabad,Telangana,Private University,17.4215,78.6565
"Keshav Memorial Institute of Technology (KMIT, Narayanguda)",Hyderabad,Telangana,Autonomous College,17.3978,78.4912
Loyola Academy Degree and PG College (Old Alwal),Hyderabad,Telangana,Autonomous College,17.4985,78.5098
St. Francis College for Women (Begumpet),Hyderabad,Telangana,Autonomous College,17.441,78.4618
Nizam College (Basheerbagh),Hyderabad,Telangana,Constituent College,17.3985,78.4735
Muffakham Jah College of Engineering & Technology (MJCET),Hyderabad,Telangana,Private College,17.4285,78.4385
"Indian Institute of Technology Madras (IIT Madras, Guindy)",Chennai,Tamil Nadu,Institute of National Importance,12.9915,80.2337
"College of Engineering Guindy (CEG, Anna University)",Chennai,Tamil Nadu,State University,13.0118,80.2355
"Madras Institute of Technology (MIT Anna University, Chromepet)",Chennai,Tamil Nadu,Constituent College,12.9482,80.1398
University of Madras (Chepauk Campus),Chennai,Tamil Nadu,State University,13.0645,80.2828
"Loyola College (Autonomous, Nungambakkam)",Chennai,Tamil Nadu,Autonomous College,13.0626,80.235
"Madras Christian College (MCC, Tambaram)",Chennai,Tamil Nadu,Autonomous College,12.9248,80.1245
Stella Maris College (Cathedral Road),Chennai,Tamil Nadu,Autonomous College,13.045,80.252
Presidency College Chennai (Kamarajar Salai),Chennai,Tamil Nadu,Autonomous College,13.0578,80.282
"Madras Medical College (MMC, Park Town)",Chennai,Tamil Nadu,Government Medical College,13.0805,80.2785
Stanley Medical College (George Town),Chennai,Tamil Nadu,Government Medical College,13.1065,80.2878
Sri Ramachandra Institute of Higher Education & Research (Porur),Chennai,Tamil Nadu,Deemed University,13.0375,80.1412
SRM Institute of Science and Technology (Kattankulathur),Chennai,Tamil Nadu,Deemed University,12.8231,80.0444
SRM Institute of Science and Technology (Vadapalani Campus),Chennai,Tamil Nadu,Deemed University,13.052,80.2105
B.S. Abdur Rahman Crescent Institute of Science & Technology,Chennai,Tamil Nadu,Deemed University,12.8795,80.0825
"SSN College of Engineering (Kalavakkam, OMR)",Chennai,Tamil Nadu,Autonomous College,12.7505,80.1975
Sathyabama Institute of Science and Technology (Jeppiaar Nagar),Chennai,Tamil Nadu,Deemed University,12.8725,80.2205
"Hindustan Institute of Technology and Science (HITS, Padur)",Chennai,Tamil Nadu,Deemed University,12.8398,80.2295
"Sri Venkateswara College of Engineering (SVCE, Sriperumbudur)",Chennai,Tamil Nadu,Autonomous College,12.9885,79.9725
"Rajalakshmi Engineering College (REC, Thandalam)",Chennai,Tamil Nadu,Autonomous College,13.0085,80.0035
St. Joseph's College of Engineering (OMR),Chennai,Tamil Nadu,Autonomous College,12.8685,80.2185
Ethiraj College for Women (Egmore),Chennai,Tamil Nadu,Autonomous College,13.0655,80.2575
"Women's Christian College (WCC, Nungambakkam)",Chennai,Tamil Nadu,Autonomous College,13.069,80.2465
"Tamil Nadu Dr. Ambedkar Law University (SOEL, Taramani)",Chennai,Tamil Nadu,State University,12.9775,80.2445
"Asian College of Journalism (ACJ, Taramani)",Chennai,Tamil Nadu,Autonomous Institute,12.9882,80.2458
Great Lakes Institute of Management (ECR),Chennai,Tamil Nadu,Autonomous Institute,12.562,80.1685
Easwari Engineering College (Ramapuram),Chennai,Tamil Nadu,Autonomous College,13.0315,80.1805
Meenakshi College for Women (Kodambakkam),Chennai,Tamil Nadu,Autonomous College,13.0535,80.2215
Guru Nanak College (Velachery),Chennai,Tamil Nadu,Autonomous College,12.9905,80.218
D.G. Vaishnav College (Arumbakkam),Chennai,Tamil Nadu,Autonomous College,13.0725,80.2075
Saveetha Institute of Medical and Technical Sciences (SIMATS),Chennai,Tamil Nadu,Deemed University,13.0285,80.0175
